Combi,k_eff
"(6, 14, 34)",25.245494737036793
"(7, 14, 65)",25.237168861930392
"(0, 30, 55)",25.235697498205028
"(0, 41)",25.232356321957806
"(0, 52, 54)",25.222914907331855
"(0, 52, 63)",25.208378099667648
"(0, 60, 67)",25.20185569063197
"(0, 26, 67)",25.195359831937992
"(7, 33, 35)",25.183600583326392
"(7, 53)",25.181466756316574
"(14, 35, 60)",25.18047220367767
"(0, 18, 66)",25.180235136980862
"(0, 35, 42)",25.17698135832197
"(14, 26, 35)",25.173976344983693
"(0, 30, 67)",25.16760495301573
"(0, 9, 61)",25.155805411147288
"(14, 30, 35)",25.14622146606143
"(0, 8, 29)",25.145906082779714
"(35, 54)",25.13280619705689
"(0, 5, 35)",25.131670063062476
"(0, 28, 35)",25.131670063062476
"(0, 35, 45)",25.131670063062476
"(0, 35, 56)",25.131670063062476
"(0, 35, 57)",25.131670063062476
"(0, 35, 62)",25.131670063062476
"(0, 35, 70)",25.131670063062476
"(0, 8, 55)",25.120301330112923
"(0, 34, 50)",25.119599857450055
"(0, 65, 66)",25.11476995627045
"(35, 63)",25.11100098556058
"(7, 14, 54)",25.10575319478228
"(7, 20)",25.10380465440554
"(7, 14, 63)",25.09121638711807
"(7, 13)",25.081980372362356
"(0, 9, 53)",25.05950603464865
"(0, 8, 67)",25.052208784923625
"(0, 31)",25.041828282857487
"(8, 14, 35)",25.030825297969326
"(0, 9, 20)",25.007731300041293
"(0, 33, 60)",25.006551734696167
"(0, 38, 61)",25.00482415640332
"(0, 26, 33)",25.00005587600219
"(0, 54, 66)",24.98335428912234
"(0, 30, 33)",24.972300997079927
"(0, 63, 66)",24.968817481458128
"(0, 43, 61)",24.939024649195616
"(0, 7, 22)",24.920228921449784
"(0, 52, 60)",24.917067212792155
"(0, 26, 52)",24.910571354098177
"(0, 38, 53)",24.90852477990468
"(6, 7, 17)",24.90023540892951
"(0, 17, 19)",24.894388023273564
"(0, 17, 21)",24.887735354334183
"(6, 16, 35)",24.883282050522123
"(0, 30, 52)",24.882816475175915
"(6, 19, 35)",24.881466947296694
"(6, 21, 35)",24.87481427835731
"(6, 14, 61)",24.8587506182414
"(7, 18)",24.85727741369204
"(0, 8, 33)",24.856904828987822
"(0, 20, 38)",24.856750045297325
"(0, 9, 18)",24.843379806232292
"(0, 43, 53)",24.84272527269698
"(0, 13, 38)",24.842200523935205
"(0, 17, 37)",24.836412917608566
"(6, 35, 37)",24.823491841631697
"(7, 14, 60)",24.799905500242577
"(0, 7, 42)",24.796414654886878
"(7, 14, 26)",24.7934096415486
"(0, 20, 43)",24.790950538089625
"(0, 9, 65)",24.77791462552188
"(4, 6, 35)",24.776970899856355
"(0, 13, 43)",24.776401016727505
