pool,score,output
"[12, 56]",0.3085768080010436,
"[2, 48]",0.30649185878846397,
"[29, 55]",0.3062854604589428,
"[12, 48]",0.302837912164433,
"[30, 44]",0.3028010661805145,
"[35, 61]",0.30231716885463533,
"[14, 18]",0.29890947761291564,
"[18, 60]",0.29874231032728493,
"[32, 41]",0.2966030539179392,
"[21, 68]",0.2933939042005949,
"[30, 58]",0.28969916689113295,
"[34, 67]",0.28741489042447693,
"[27, 48]",0.28732341554738194,
"[45, 51]",0.2821859636677534,
"[44, 60]",0.2803635782713473,
"[35, 41]",0.27939506518967927,
"[51, 67]",0.27872623699966403,
"[2, 32]",0.2751784018864354,
"[6, 7]",0.27416080601362713,
"[6, 49]",0.27416080601362713,
"[6, 58]",0.27416080601362713,
"[7, 49]",0.27416080601362713,
"[7, 58]",0.27416080601362713,
"[49, 58]",0.27416080601362713,
"[54, 71]",0.2707770311321829,
"[19, 71]",0.2707428205919845,
"[14, 37]",0.26960346390650025,
"[35, 54]",0.26957802424635496,
"[35, 60]",0.2675379858190355,
"[21, 72]",0.26627291350215343,
"[18, 72]",0.2660365809740629,
"[31, 54]",0.2653449851217423,
"[11, 58]",0.2653043687183405,
"[11, 69]",0.2653043687183405,
"[58, 69]",0.2653043687183405,
"[6, 37]",0.2648476663068052,
"[6, 47]",0.2648476663068052,
"[37, 47]",0.2648476663068052,
"[6, 35]",0.26449384097248546,
"[21, 58]",0.26447803859210317,
"[12, 21]",0.26403091042754506,
"[2, 11]",0.26360846595663523,
"[15, 72]",0.26194910899416657,
"[37, 52]",0.26093589481112195,
"[15, 49]",0.26048221159261187,
"[19, 33]",0.2583619023157965,
"[19, 42]",0.2583619023157965,
"[33, 42]",0.2583619023157965,
"[14, 69]",0.25639295404328855,
"[7, 11]",0.25619952353949527,
"[19, 55]",0.253563714772998,
"[56, 66]",0.2533173583939933,
"[12, 31]",0.2526558192905324,
"[33, 72]",0.24835554337540047,
"[44, 56]",0.24738397566010212,
