id,name,smiles,formula
124,J110-1,C[C@H](c1c[cH-]cc1P(c1ccccc1)c1ccccc1)P(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1.[Fe+2].c1cc[cH-]c1,C38H30F6FeP2
125,J210-1,C[C@H](c1c[cH-]cc1P(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)P(C(C)(C)C)C(C)(C)C.[Fe+2].c1cc[cH-]c1,C36H36F12FeP2
126,J222-1,COc1c(C)cc(P(c2cc(C)c(OC)c(C)c2)c2c[cH-]cc2[C@@H](C)P(CC(C)(C)C)CC(C)(C)C)cc1C.[Fe+2].c1cc[cH-]c1,C40H56FeO2P2
128,J301-1,CCP(CC)c1c[cH-]cc1[C@@H](C)P(C(C)(C)C)C(C)(C)C.[Fe+2].c1cc[cH-]c1,C24H40FeP2
130,J302-1,CCP(CC)c1c[cH-]cc1[C@@H](C)P(C1CCCCC1)C1CCCCC1.[Fe+2].c1cc[cH-]c1,C28H44FeP2
131,J408-1,Cc1cc(C)cc(P(c2cc(C)cc(C)c2)c2c[cH-]cc2[C@@H](C)P(c2cc(C)cc(C)c2)c2cc(C)cc(C)c2)c1.[Fe+2].c1cc[cH-]c1,C44H48FeP2
132,J412-1,Cc1cc(C)cc(P(c2cc(C)cc(C)c2)c2c[cH-]cc2[C@@H](C)P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1.[Fe+2].c1cc[cH-]c1,C44H36F12FeP2
134,J505-1,Cc1ccccc1P(c1ccccc1C)[C@H](C)c1c[cH-]cc1P(C(C)(C)C)C(C)(C)C.[Fe+2].c1cc[cH-]c1,C34H44FeP2
137,R_C2_TunePhos,c1ccc(P(c2ccccc2)c2cccc3c2-c2c(cccc2P(c2ccccc2)c2ccccc2)OCCO3)cc1,C38H30O2P2
138,R_Garphos,COc1cc(OC)c(-c2c(OC)cc(OC)cc2P(c2ccccc2)c2ccccc2)c(P(c2ccccc2)c2ccccc2)c1,C40H36O4P2
140,R_P_Phos,COc1cc(P(c2ccccc2)c2ccccc2)c(-c2c(P(c3ccccc3)c3ccccc3)cc(OC)nc2OC)c(OC)n1,C38H34N2O4P2
141,R_ProPhos,C[C@H](CP(c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1,C27H26P2
142,R-BINAP-tol,Cc1ccc(P(c2ccc(C)cc2)c2ccc3ccccc3c2-c2c(P(c3ccc(C)cc3)c3ccc(C)cc3)ccc3ccccc23)cc1,C48H40P2
143,R-BIPHEP       ,c1ccc(P(c2ccccc2)c2ccccc2-c2ccccc2P(c2ccccc2)c2ccccc2)cc1,C36H28P2
144,R-CataSium-M,C[C@@H]1CC[C@@H](C)P1C1=C(P2[C@H](C)CC[C@H]2C)C(=O)OC1=O,C16H24O3P2
145,R-Cy_BIPHEP,c1ccc(P(C2CCCCC2)C2CCCCC2)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c1,C36H52P2
147,R-Segphos_DM,Cc1cc(C)cc(P(c2cc(C)cc(C)c2)c2ccc3c(c2-c2c(P(c4cc(C)cc(C)c4)c4cc(C)cc(C)c4)ccc4c2OCO4)OCO3)c1,C46H44O4P2
148,R-TOL-MEOBIPHEP,COc1cccc(P(c2ccc(C)cc2)c2ccc(C)cc2)c1-c1c(OC)cccc1P(c1ccc(C)cc1)c1ccc(C)cc1,C42H40O2P2
149,RR_BenzP,CP(c1ccccc1P(C)C(C)(C)C)C(C)(C)C,C16H28P2
150,RR-BICP,c1ccc(P(c2ccccc2)[C@@H]2CCC[C@@H]2[C@H]2CCC[C@H]2P(c2ccccc2)c2ccccc2)cc1,C34H36P2
151,RR-Chiraphos,C[C@H]([C@@H](C)P(c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1,C28H28P2
153,RRR_Me_Kephos,C[C@@H]1CC[C@@H](C)P1c1c[cH-]cc1P(c1ccccc1)c1ccccc1.[Fe+2].c1cc[cH-]c1,C28H30FeP2
155,S_BINAP,c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,C44H32P2
156,S_C5_Tunephos,c1ccc(P(c2ccccc2)c2cccc3c2-c2c(cccc2P(c2ccccc2)c2ccccc2)OCCCCCO3)cc1,C41H36O2P2
157,S_SDP,c1ccc(P(c2ccccc2)c2cccc3c2C2(CC3)CCc3cccc(P(c4ccccc4)c4ccccc4)c32)cc1,C41H34P2
161,S-XYL_Garphos,COc1cc(OC)c(-c2c(OC)cc(OC)cc2P(c2cc(C)cc(C)c2)c2cc(C)cc(C)c2)c(P(c2cc(C)cc(C)c2)c2cc(C)cc(C)c2)c1,C48H52O4P2
162,S_MeO_BIPHEP-Xyl,COc1cccc(P(c2cc(C)cc(C)c2)c2cc(C)cc(C)c2)c1-c1c(OC)cccc1P(c1cc(C)cc(C)c1)c1cc(C)cc(C)c1,C46H48O2P2
165,SS-Me-Duphos,C[C@H]1CC[C@H](C)P1c1ccccc1P1[C@@H](C)CC[C@@H]1C,C18H28P2
166,SS-ME-UCAP_DTBM,COc1c(C(C)(C)C)cc(P(c2cc(C(C)(C)C)c(OC)c(C(C)(C)C)c2)c2ccccc2P2[C@@H](C)CC[C@@H]2C)cc1C(C)(C)C,C42H62O2P2
